# planets: 488 - 15wormholes removed

# Builder(system Fereti)
planet "Quicksilver"
	landscape "land/quicksilver"

# Syndicate(system Caph)
planet "Reunion"
	landscape "land/reunion"

# Syndicate(system Polaris)
planet "Shangri-La"
	landscape "land/shangri-la"

# Syndicate(system Sheratan)
planet "Sundive"
	landscape "land/sundive"

# Syndicate(system Mirfak)
planet "Sunracer"
	landscape "land/sunracer"

# Syndicate(system Sheratan)
planet "Taylor"
	landscape "land/taylor"

# Syndicate(system Diphda)
planet "Tinker"
	landscape "land/tinker"

# Syndicate(system Hamal)
planet "Trove"
	landscape "land/trove"

# Uninhabited(system Ae Il M-77)
planet "Aetuah"
	landscape "land/aetuah"

# Uninhabited(system Arculus)
planet "Aksaray"
	landscape "land/aksaray"

# Uninhabited(system Fereti)
planet "Alix"
	landscape "land/alix"

# Uninhabited(system Gacrux)
planet "Asphodel"
	landscape "land/asphodel"

# Uninhabited(system Al Hurr)
planet "Aspiration"
	landscape "land/aspiration"

# Uninhabited(system Host)
planet "Avalon"
	landscape "land/avalon"

# Uninhabited(system Arculus)
planet "Babiali"
	landscape "land/babiali"

# Uninhabited(system Parca)
planet "Baianus"
	landscape "land/baianus"

# Uninhabited(system Imo Dep)
planet "Bluerun"
	landscape "land/bluerun"

# Uninhabited(system Patir)
planet "Builder Settlement"
	landscape "land/buildersettlement"

# Uninhabited(system Pantica)
planet "Capitoline"
	landscape "land/capitoline"

# Uninhabited(system Polerius)
planet "Ceilia'sei"
	landscape "land/ceiliasei"

# Uninhabited(system Polerius)
planet "Celeatis"
	landscape "land/celeatis"

# Uninhabited(system Cardea)
planet "Crataegusa"
	landscape "land/crataegusa"

# Uninhabited(system Wreoul)
planet "Cyife"
	landscape "land/cyife"

# Uninhabited(system Da Ent)
planet "Darkrest"
	landscape "land/darkrest"

# Uninhabited(system Asikafarnut)
planet "Deka Dathnak"
	landscape "land/dekadathnak"

# Uninhabited(system Solifar)
planet "Desi Seledrak"
	landscape "land/desiseledrak"

# Uninhabited(system Yli)
planet "Dlia Jzaur"
	landscape "land/dliajzaur"

# Uninhabited(system Paeli)
planet "Eavine"
	landscape "land/eavine"

# Uninhabited(system Mnashyu)
planet "Eeu Mnai"
	landscape "land/eeumnai"

# Uninhabited(system Furmeliki)
planet "Elek Kartanu"
	landscape "land/elekkartanu"

# Uninhabited(system Arculus)
planet "Eminonu"
	landscape "land/eminonu"

# Uninhabited(system Chornifath)
planet "Eskar Kortuka"
	landscape "land/eskarkortuka"


# Uninhabited(system Feroteri)
planet "Esperaktu Station"
	landscape "land/esperaktustation"

# Uninhabited(system Pantica)
planet "Esquiline"
	landscape "land/esquiline"

# Uninhabited(system Heutesl)
planet "Esstch"
	landscape "land/esstch"

# Uninhabited(system Lucina)
planet "Far Monad"
	landscape "land/farmonad"

# Uninhabited(system Kor Nor'peli)
planet "Far'en Lai"
	landscape "land/farenlai"

# Uninhabited(system Postverta)
planet "Fertriery"
	landscape "land/fertriery"

# Uninhabited(system Fah Soom)
planet "Firefall"
	landscape "land/firefall"

# Uninhabited(system Jyeg Pvu)
planet "Gara Pvu"
	landscape "land/garapvu"

# Uninhabited(system Kneirc)
planet "Ghneoe"
	landscape "land/ghneoe"

# Uninhabited(system Citadelle)
planet "Independance"
	landscape "land/independance"

# Uninhabited(system Lom Tahr)
planet "Iritoroost"
	landscape "land/iritoroost"

# Uninhabited(system Ula Mon)
planet "Ironfirth"
	landscape "land/ironfirth"

# Uninhabited(system Cinxia)
planet "Janiculum"
	landscape "land/janiculum"

# Uninhabited(system Sol)
planet "Jupiter"
	landscape "land/jupiter"

# Uninhabited(system Aki'il)
planet "Kaeyin"
	landscape "land/kaeyin"

# Uninhabited(system Korsmanath)
planet "Kasichara Fet"
	landscape "land/kasicharafet"

# Uninhabited(system Arculus)
planet "Kumkapi"
	landscape "land/kumkapi"

# Uninhabited(system Kochab)
planet "Lenz's Loop"
	landscape "land/lenzsloop"

# Uninhabited(system Fearis)
planet "Letis'sei"
	landscape "land/letissei"

# Uninhabited(system Rati Cal)
planet "Limejog"
	landscape "land/limejog"

# Uninhabited(system Alpherg)
planet "Mendez Station"
	landscape "land/mendezstation"

# Uninhabited(system Mnashyu)
planet "Mnai"
	landscape "land/mnai"

# Uninhabited(system Nenia)
planet "Nasqueron"
	landscape "land/nasqueron"

# Uninhabited(system Alhena)
planet "Nepheritis"
	landscape "land/nepheritis"

# Uninhabited(system Alpheratz)
planet "Neriene"
	landscape "land/neriene"

# Uninhabited(system Giribea)
planet "Osaeli"
	landscape "land/osaeli"

# Uninhabited(system Gerenus)
planet "Palarei"
	landscape "land/palarei"

# Uninhabited(system Cinxia)
planet "Palatine"
	landscape "land/palatine"

# Uninhabited(system Aspidiske)
planet "Passaritus"
	landscape "land/passaritus"

# Uninhabited(system Cinxia)
planet "Pincian"
	landscape "land/pincian"

# Uninhabited(system Markab)
planet "Placatious"
	landscape "land/placatious"

# Uninhabited(system Fingol)
planet "Pyriphlegethon"
	landscape "land/pyriphlegethon"

# Uninhabited(system Pantica)
planet "Quirinal"
	landscape "land/quirinal"

# Uninhabited(system Zuba Zub)
planet "Redwatch"
	landscape "land/redwatch"

# Uninhabited(system Lire)
planet "Retilie"
	landscape "land/retilie"

# Uninhabited(system Alkaid)
planet "Rowark's Roost"
	landscape "land/rowarksroost"

# Uninhabited(system Terra Incognita)
planet "Ruin"
	landscape "land/ruin"

# Uninhabited(system Skeruto)
planet "Sabira Eseskrai"
	landscape "land/sabiraeseskrai"

# Uninhabited(system Heia Due)
planet "Sandsnap"
	landscape "land/sandsnap"

# Uninhabited(system Hesselpost)
planet "Sarisa Fentra"
	landscape "land/sarisafentra"

# Uninhabited(system Hesselpost)
planet "Sebarep Atarkis"
	landscape "land/sebarepatarkis"

# Uninhabited(system Fornarep)
planet "Sek Alarfarat"
	landscape "land/sekalarfarat"

# Uninhabited(system Chikatip)
planet "Selefkar Refinery"
	landscape "land/selefkarrefinery"

# Uninhabited(system Seketra)
planet "Seleptra Nak"
	landscape "land/seleptranak"

# Uninhabited(system Arculus)
planet "Seraglio"
	landscape "land/seraglio"

# Uninhabited(system Pantica)
planet "Servian"
	landscape "land/servian"

# Uninhabited(system Shaula)
planet "Shih's Locker"
	landscape "land/shihslocker"

# Uninhabited(system Nona)
planet "Siteria"
	landscape "land/siteria"

# Uninhabited(system Nenia)
planet "Slylandro"
	landscape "land/slylandro"

# Uninhabited(system Farbutero)
planet "Solima Skarati"
	landscape "land/solimaskarati"

# Uninhabited(system Kaliptari)
planet "Spera Anatrusk"
	landscape "land/speraanatrusk"

# Uninhabited(system Postverta)
planet "Ssil Vida"
	landscape "land/ssilvida"

# Uninhabited(system Lom Tahr)
planet "Steamwater"
	landscape "land/steamwater"

# Uninhabited(system Cinxia)
planet "Tibernia"
	landscape "land/tibernia"

# Uninhabited(system Arculus)
planet "Topkapi"
	landscape "land/topkapi"

# Uninhabited(system Zubenelhakrabi)
planet "Valley of the Damned"
	landscape "land/valleyofthedamned"

# Uninhabited(system Nssryos)
planet "Var Oti"
	landscape "land/varoti"

# Uninhabited(system Cinxia)
planet "Vatican"
	landscape "land/vatican"

# Uninhabited(system Evrae)
planet "Veiuye"
	landscape "land/veiuye"

# Uninhabited(system Dixere)
planet "Veliante"
	landscape "land/veliante"

# Uninhabited(system Vorsuke)
planet "Vigales"
	landscape "land/vigales"

# Uninhabited(system Da Ent)
planet "Violetwake"
	landscape "land/violetwake"

# Uninhabited(system Answer)
planet "Vivid Aether"
	landscape "land/vividaether"

# Uninhabited(system Pukako)
planet "Wye Tzeou"
	landscape "land/wyetzeou"

# Uninhabited(system Arculus)
planet "Xerolophos"
	landscape "land/xerolophos"

# Uninhabited(system Huud)
planet "Xurelei"
	landscape "land/xurelei"

# Uninhabited(system Arculus)
planet "Yedikule"
	landscape "land/yedikule"

# Uninhabited(system Ilirco)
planet "Yiia Iyr"
	landscape "land/yiiaiyr"

# Uninhabited(system Kanguwa)
planet "Yniu Eiu"
	landscape "land/yniueiu"

# Uninhabited(system Kanguwa)
planet "Yniu Ena"
	landscape "land/yniuena"

# Uninhabited(system Kneirc)
planet "Zydee"
	landscape "land/zydee"

# Wanderer(system Ek'kek'ru)
planet "Kort Kehai"
	landscape "land/kortkehai"

# Wanderer(system Chirr'ay'akai)
planet "Kort Vek'kri"
	landscape "land/kortvekkri"

# Wanderer(system Iyech'yek)
planet "Tik Klai"
	landscape "land/tikklai"

# Wanderer(system Kiro'ku)
planet "Var' Kar'i'i"
	landscape "land/varkarii"

# Wanderer(system Pik'ro'iyak)
planet "Var' Kayi"
	landscape "land/varkayi"

# Wanderer(system Si'yak'ku)
planet "Var' Roi"
	landscape "land/varroi"

# Wanderer(system Ka'ch'chrai)
planet "Vara K'chrai"
	landscape "land/varakchrai"

# Wanderer(system Sich'ka'ara)
planet "Vara Ke'sok"
	landscape "land/varakesok"

# Wanderer(system Ka'pru)
planet "Vara Ke'stai"
	landscape "land/varakestai"

# Wanderer(system Iyech'yek)
planet "Vara Kehi'ki"
	landscape "land/varakehiki"

# Wanderer(system Es'sprak'ai)
planet "Vara Rakak"
	landscape "land/vararakak"

# Wanderer(system Kiru'kichi)
planet "Varu Ek'lak'lai"
	landscape "land/varueklaklai"

# Wanderer(system Chy'chra)
planet "Varu K'est"
	landscape "land/varukest"

# Wanderer(system Aya'k'k)
planet "Varu K'prai"
	landscape "land/varukprai"

# Wanderer(system Ik'kara'ka)
planet "Varu Mer'ek"
	landscape "land/varumerek"

# Wanderer(system Si'yak'ku)
planet "Varu Tek'kai"
	landscape "land/varutekkai"

# Wanderer(system Ap'arak)
planet "Varu Tev'kei"
	landscape "land/varutevkei"
