# ----------
#   GALAXY  
# ----------

galaxy "label omnis"
		sprite "ship/riptide"
		distance 1550
#
	object "Earth Shaper"
		sprite "ship/earth shaper"
		distance 1450
		offset 40
#
	object "Deep River Transport"
		sprite "ship/deep river"
		distance 1750
		offset 74
	object "Deep River"
		sprite "ship/deep river"
		distance 1750
		offset 86
#
	object "Cool Breeze"
		sprite "ship/cool breeze"
		distance 1400
		offset 120
#
	object "Summer Leaf"
		sprite "ship/summer leaf"
		distance 1500
		offset 153
	object "Autumn Leaf"
		sprite "ship/autumn leaf"
		distance 1500
		offset 160
	object "Winter Gale"
		sprite "ship/winter gale"
		distance 1500
		offset 167
#
	object "Strong Wind"
		sprite "ship/strong wind"
		distance 1550
		offset 196
	object "Tempest"
		sprite "ship/tempest"
		distance 1550
		offset 204
#
	object "Derecho"
		sprite "ship/derecho"
		distance 1600
		offset 234
	object "Hurricane"
		sprite "ship/hurricane"
		distance 1600
		offset 246
#
	object "Flycatcher"
		sprite "ship/flycatcher"
		distance 1400
		offset 320
#

system "Coalition"
	pos 75 -10150
	government "cheat"
	link "Remnant"
	link "Wanderer"

	object "coalition gateway"
		sprite "sprite/wisp_green"
			
	object "Coalition Plugins"
		sprite "sprite/station8"
		distance 444
		offset 90
	object "Coalition Vanilla"
		sprite "sprite/station8"
		distance 444
		offset 270

	object "Coalition"
		sprite planet/ringworld
		distance 812
	object "Coalition"
		sprite planet/ringworld
		distance 812
		offset 20
	object "Coalition"
		sprite planet/ringworld
		distance 812
		offset 40
	object "Coalition"
		sprite planet/ringworld
		distance 812
		offset 60
	object "Coalition"
		sprite planet/ringworld
		distance 812
		offset 80
	object "Coalition"
		sprite planet/ringworld
		distance 812
		offset 100
	object "Coalition"
		sprite planet/ringworld
		distance 812
		offset 120
	object "Coalition"
		sprite planet/ringworld
		distance 812
		offset 140
	object "Coalition"
		sprite planet/ringworld
		distance 812
		offset 160
	object "Coalition"
		sprite planet/ringworld
		distance 812
		offset 180
	object "Coalition"
		sprite planet/ringworld
		distance 812
		offset 200
	object "Coalition"
		sprite planet/ringworld
		distance 812
		offset 220
	object "Coalition"
		sprite planet/ringworld
		distance 812
		offset 240
	object "Coalition"
		sprite planet/ringworld
		distance 812
		offset 260
	object "Coalition"
		sprite planet/ringworld
		distance 812
		offset 280
	object "Coalition"
		sprite planet/ringworld
		distance 812
		offset 300
	object "Coalition"
		sprite planet/ringworld
		distance 812
		offset 320
	object "Coalition"
		sprite planet/ringworld
		distance 812
		offset 340

	object
		sprite "sprite/category_transport"
		distance 1200
	object
		sprite "sprite/category_light_freighter"
		distance 1200
		offset 40
	object
		sprite "sprite/category_heavy_freighter"
		distance 1200
		offset 80
	object
		sprite "sprite/category_interceptor"
		distance 1200
		offset 120
	object
		sprite "sprite/category_light_warship"
		distance 1200
		offset 160
	object
		sprite "sprite/category_medium_warship"
		distance 1200
		offset 200
	object
		sprite "sprite/category_heavy_warship"
		distance 1200
		offset 240
	object
		sprite "sprite/category_fighter"
		distance 1200
		offset 280
	object
		sprite "sprite/category_drone"
		distance 1200
		offset 320
#
	object "Kimek Thorn"
		sprite "ship/kimek thorn"
		distance 1450
		offset -6
	object "Kimek Briar"
		sprite "ship/kimek briar"
		distance 1450
	object "Kimek Thistle"
		sprite "ship/kimek thistle"
		distance 1450
		offset 6

	object "Kimek Spire"
		sprite "ship/kimek spire"
		distance 1850
#
	object "Arach Courier"
		sprite "ship/arach courier"
		distance 1450
		offset 33
	object "Saryd Runabout"
		sprite "ship/saryd runabout"
		distance 1450
		offset 40
	object "Saryd Visitor"
		sprite "ship/saryd visitor"
		distance 1450
		offset 47

	object "Arach Transport"
		sprite "ship/arach transport"
		distance 1750
		offset 37
	object "Arach Freighter"
		sprite "ship/arach freighter"
		distance 1750
		offset 43
#
	object "Saryd Traveler"
		sprite "ship/saryd traveler"
		distance 1500
		offset 80

	object "Arach Spindle"
		sprite "ship/arach spindle"
		distance 1950
		offset 72
	object "Arach Hulk"
		sprite "ship/arach hulk"
		distance 1950
		offset 80
	object "Saryd Sojourner"
		sprite "ship/saryd sojourner"
		distance 1950
		offset 88
#
	object "Heliarch Neutralizer"
		sprite "ship/heliarch neutralizer"
		distance 1500
		offset 155
	object "Heliarch Breacher"
		sprite "ship/heliarch breacher"
		distance 1500
		offset 165
#
	object "Heliarch Interdictor"
		sprite "ship/heliarch interdictor"
		distance 1600
		offset 193
	object "Heliarch Hunter"
		sprite "ship/heliarch hunter"
		distance 1600
		offset 200
	object "Heliarch Judicator"
		sprite "ship/heliarch judicator"
		distance 1600
		offset 207
#
	object "Heliarch Punisher"
		sprite "ship/heliarch punisher"
		distance 1650
		offset 240
#
	object "Heliarch Pursuer"
		sprite "ship/heliarch pursuer"
		distance 1450
		offset 275
	object "Heliarch Rover"
		sprite "ship/heliarch rover"
		distance 1450
		offset 280
	object "Heliarch Stalker"
		sprite "ship/heliarch stalker"
		distance 1450
		offset 285
#

system "Quarg"
	pos 0 -10200
	government "cheat"
	link "Korath"
	link "Wanderer"
	link "Drak"
	link "Pug"

	object "quarg gateway"
		sprite "sprite/wisp_green"
			
	object "Quarg Plugins"
		sprite "sprite/station8"
		distance 444
		offset 90
	object "Quarg Vanilla"
		sprite "sprite/station8"
		distance 444
		offset 270

	object "Quarg"
		sprite planet/ringworld
		distance 812
	object "Quarg"
		sprite planet/ringworld
		distance 812
		offset 20
	object "Quarg"
		sprite planet/ringworld
		distance 812
		offset 40
	object "Quarg"
		sprite planet/ringworld
		distance 812
		offset 60
	object "Quarg"
		sprite planet/ringworld
		distance 812
		offset 80
	object "Quarg"
		sprite planet/ringworld
		distance 812
		offset 100
	object "Quarg"
		sprite planet/ringworld
		distance 812
		offset 120
	object "Quarg"
		sprite planet/ringworld
		distance 812
		offset 140
	object "Quarg"
		sprite planet/ringworld
		distance 812
		offset 160
	object "Quarg"
		sprite planet/ringworld
		distance 812
		offset 180
	object "Quarg"
		sprite planet/ringworld
		distance 812
		offset 200
	object "Quarg"
		sprite planet/ringworld
		distance 812
		offset 220
	object "Quarg"
		sprite planet/ringworld
		distance 812
		offset 240
	object "Quarg"
		sprite planet/ringworld
		distance 812
		offset 260
	object "Quarg"
		sprite planet/ringworld
		distance 812
		offset 280
	object "Quarg"
		sprite planet/ringworld
		distance 812
		offset 300
	object "Quarg"
		sprite planet/ringworld
		distance 812
		offset 320
	object "Quarg"
		sprite planet/ringworld
		distance 812
		offset 340

	object
		sprite "sprite/category_transport"
		distance 1200
	object
		sprite "sprite/category_light_freighter"
		distance 1200
		offset 40
	object
		sprite "sprite/category_heavy_freighter"
		distance 1200
		offset 80
	object
		sprite "sprite/category_interceptor"
		distance 1200
		offset 120
	object
		sprite "sprite/category_light_warship"
		distance 1200
		offset 160
	object
		sprite "sprite/category_medium_warship"
		distance 1200
		offset 200
	object
		sprite "sprite/category_heavy_warship"
		distance 1200
		offset 240
	object
		sprite "sprite/category_fighter"
		distance 1200
		offset 280
	object
		sprite "sprite/category_drone"
		distance 1200
		offset 320
#
	object "Quarg Skylark"
		sprite "ship/skylark"
		distance 1550
		offset 236
	object "Quarg Wardragon"
		sprite "ship/wardragon"
		distance 1550
		offset 244
#

system "Drak"
	pos -25 -10250
	government "cheat"
	link "Quarg"
	link "Pug"

	object "drak gateway"
		sprite "sprite/wisp_green"
			
	object "Drak Plugins"
		sprite "sprite/station8"
		distance 444
		offset 90
	object "Drak Vanilla"
		sprite "sprite/station8"
		distance 444
		offset 270

	object "Drak"
		sprite planet/ringworld
		distance 812
	object "Drak"
		sprite planet/ringworld
		distance 812
		offset 20
	object "Drak"
		sprite planet/ringworld
		distance 812
		offset 40
	object "Drak"
		sprite planet/ringworld
		distance 812
		offset 60
	object "Drak"
		sprite planet/ringworld
		distance 812
		offset 80
	object "Drak"
		sprite planet/ringworld
		distance 812
		offset 100
	object "Drak"
		sprite planet/ringworld
		distance 812
		offset 120
	object "Drak"
		sprite planet/ringworld
		distance 812
		offset 140
	object "Drak"
		sprite planet/ringworld
		distance 812
		offset 160
	object "Drak"
		sprite planet/ringworld
		distance 812
		offset 180
	object "Drak"
		sprite planet/ringworld
		distance 812
		offset 200
	object "Drak"
		sprite planet/ringworld
		distance 812
		offset 220
	object "Drak"
		sprite planet/ringworld
		distance 812
		offset 240
	object "Drak"
		sprite planet/ringworld
		distance 812
		offset 260
	object "Drak"
		sprite planet/ringworld
		distance 812
		offset 280
	object "Drak"
		sprite planet/ringworld
		distance 812
		offset 300
	object "Drak"
		sprite planet/ringworld
		distance 812
		offset 320
	object "Drak"
		sprite planet/ringworld
		distance 812
		offset 340

	object
		sprite "sprite/category_transport"
		distance 1200
	object
		sprite "sprite/category_light_freighter"
		distance 1200
		offset 40
	object
		sprite "sprite/category_heavy_freighter"
		distance 1200
		offset 80
	object
		sprite "sprite/category_interceptor"
		distance 1200
		offset 120
	object
		sprite "sprite/category_light_warship"
		distance 1200
		offset 160
	object
		sprite "sprite/category_medium_warship"
		distance 1200
		offset 200
	object
		sprite "sprite/category_heavy_warship"
		distance 1200
		offset 240
	object
		sprite "sprite/category_fighter"
		distance 1200
		offset 280
	object
		sprite "sprite/category_drone"
		distance 1200
		offset 320
#
	object "Subsidurial"
		sprite "ship/subsidurial"
		distance 1500
		offset 40
#
	object "Void Sprite Infant"
		sprite "ship/void sprite/void sprite infant"
		distance 1450
		offset 160
#
	object "Void Sprite"
		sprite "ship/void sprite/void sprite adult"
		distance 1500
		offset 200
#
	object "Ember Waste Node"
		sprite "ship/ember waste node/ember waste node"
		distance 1600
		offset 234
	object "Archon"
		sprite "ship/archon"
		distance 1600
		offset 246
#

system "Pug"
	pos 25 -10250
	government "cheat"
	link "Quarg"
	link "Drak"

	object "pug gateway"
		sprite "sprite/wisp_green"
			
	object "Pug Plugins"
		sprite "sprite/station8"
		distance 444
		offset 90
	object "Pug Vanilla"
		sprite "sprite/station8"
		distance 444
		offset 270

	object "Pug"
		sprite planet/ringworld
		distance 812
	object "Pug"
		sprite planet/ringworld
		distance 812
		offset 20
	object "Pug"
		sprite planet/ringworld
		distance 812
		offset 40
	object "Pug"
		sprite planet/ringworld
		distance 812
		offset 60
	object "Pug"
		sprite planet/ringworld
		distance 812
		offset 80
	object "Pug"
		sprite planet/ringworld
		distance 812
		offset 100
	object "Pug"
		sprite planet/ringworld
		distance 812
		offset 120
	object "Pug"
		sprite planet/ringworld
		distance 812
		offset 140
	object "Pug"
		sprite planet/ringworld
		distance 812
		offset 160
	object "Pug"
		sprite planet/ringworld
		distance 812
		offset 180
	object "Pug"
		sprite planet/ringworld
		distance 812
		offset 200
	object "Pug"
		sprite planet/ringworld
		distance 812
		offset 220
	object "Pug"
		sprite planet/ringworld
		distance 812
		offset 240
	object "Pug"
		sprite planet/ringworld
		distance 812
		offset 260
	object "Pug"
		sprite planet/ringworld
		distance 812
		offset 280
	object "Pug"
		sprite planet/ringworld
		distance 812
		offset 300
	object "Pug"
		sprite planet/ringworld
		distance 812
		offset 320
	object "Pug"
		sprite planet/ringworld
		distance 812
		offset 340

	object
		sprite "sprite/category_transport"
		distance 1200
	object
		sprite "sprite/category_light_freighter"
		distance 1200
		offset 40
	object
		sprite "sprite/category_heavy_freighter"
		distance 1200
		offset 80
	object
		sprite "sprite/category_interceptor"
		distance 1200
		offset 120
	object
		sprite "sprite/category_light_warship"
		distance 1200
		offset 160
	object
		sprite "sprite/category_medium_warship"
		distance 1200
		offset 200
	object
		sprite "sprite/category_heavy_warship"
		distance 1200
		offset 240
	object
		sprite "sprite/category_fighter"
		distance 1200
		offset 280
	object
		sprite "sprite/category_drone"
		distance 1200
		offset 320
#
	object "Pug Zibruka"
		sprite "ship/pug zibruka"
		distance 1450
		offset 160
#
	object "Pug Enfolta"
		sprite "ship/pug enfolta"
		distance 1550
		offset 206
	object "Pug Arfecta"
		sprite "ship/pug arfecta"
		distance 1550
		offset 194
#
	object "Pug Maboro"
		sprite "ship/pug maboro"
		distance 1550
		offset 240
#

# -------------
#   WORMHOLES
# -------------

planet "omnis gateway"
	attributes ""

planet "sheragi gateway"
	attributes "requires: Omnis"

planet "human gateway"
	attributes "requires: Omnis"

planet "hai gateway"
	attributes "requires: Omnis"

planet "remnant gateway"
	attributes "requires: Omnis"

planet "ka'het gateway"
	attributes "requires: Omnis"

planet "korath gateway"
	attributes "requires: Omnis"

planet "wanderer gateway"
	attributes "requires: Omnis"

planet "coalition gateway"
	attributes "requires: Omnis"

planet "quarg gateway"
	attributes "requires: Omnis"

planet "pug gateway"
	attributes "requires: Omnis"

planet "drak gateway"
	attributes "requires: Omnis"

# ------------
#   OVERRIDE 
# ------------

system "Rutilicus"
	add object "omnis gateway"
		sprite "planet/wisp"
		distance 4000

system "Zubenelhakrabi"
	add object "sheragi gateway"
		sprite "planet/wisp"
		distance 4000

system "Sol"
	add object "human gateway"
		sprite "planet/wisp"
		distance 4000

system "Ya Hai"
	add object "hai gateway"
		sprite "planet/wisp"
		distance 4000

system "Cinxia"
	add object "remnant gateway"
		sprite "planet/wisp"
		distance 4000

system "Nona"
	add object "ka'het gateway"
		sprite "planet/wisp"
		distance 4000

system "Kashikt"
	add object "korath gateway"
		sprite "planet/wisp"
		distance 4000

system "Ka'ch'chrai"
	add object "wanderer gateway"
		sprite "planet/wisp"
		distance 4000

system "Quaru"
	add object "coalition gateway"
		sprite "planet/wisp"
		distance 4000

system "Hevru Hai"
	add object "quarg gateway"
		sprite "planet/wisp"
		distance 4000

system "Nenia"
	add object "drak gateway"
		sprite "planet/wisp"
		distance 4000

system "Pug Iyik"
	add object "pug gateway"
		sprite "planet/wisp"
		distance 4000

# -----------
#   PLANETS
# -----------

planet "Vanilla"
	landscape "landscape/station6"
	description ``
	spaceport ``
	outfitter "coalition vanilla"
	outfitter "deprecated"
	outfitter "drak vanilla"
	outfitter "hai vanilla"
	outfitter "human vanilla"
	outfitter "ka'het vanilla"
	outfitter "korath vanilla"
	outfitter "persons"
	outfitter "pug vanilla"
	outfitter "quarg vanilla"
	outfitter "remnant vanilla"
	outfitter "sheragi vanilla"
	outfitter "wanderer vanilla"
	shipyard "coalition vanilla"
	shipyard "drak vanilla"
	shipyard "hai vanilla"
	shipyard "human vanilla"
	shipyard "ka'het vanilla"
	shipyard "korath vanilla"
	shipyard "persons"
	shipyard "pug vanilla"
	shipyard "quarg vanilla"
	shipyard "remnant vanilla"
	shipyard "sheragi vanilla"
	shipyard "wanderer vanilla"
	bribe 0

planet "Persons"
	landscape "landscape/station6"
	description ``
	spaceport ``
	outfitter "persons"
	shipyard "persons"
	bribe 0

planet "Plugins"
	landscape "landscape/station6"
	description `This station orbits the spacial phenomenon at the very center of this system, how this system is held together to be so stable is a mystery. There is no need to go running about to find some superior technology, it's all right here!`
	spaceport `This station orbits the spacial phenomenon at the very center of this system, how this system is held together to be so stable is a mystery. There is no need to go running about to find some superior technology, it's all right here!`
	outfitter "coalition plugins"
	outfitter "developer"
	outfitter "drak plugins"
	outfitter "hai plugins"
	outfitter "human plugins"
	outfitter "ka'het plugins"
	outfitter "korath plugins"
	outfitter "pug plugins"
	outfitter "quarg plugins"
	outfitter "remnant plugins"
	outfitter "sheragi plugins"
	outfitter "wanderer plugins"
	shipyard "coalition plugins"
	shipyard "developer"
	shipyard "drak plugins"
	shipyard "hai plugins"
	shipyard "human plugins"
	shipyard "ka'het plugins"
	shipyard "korath plugins"
	shipyard "pug plugins"
	shipyard "quarg plugins"
	shipyard "remnant plugins"
	shipyard "sheragi plugins"
	shipyard "wanderer plugins"
	bribe 0

planet "Deprecated"
	landscape landscape/station6
	description ``
	spaceport ``
	outfitter "deprecated"
	bribe 0

planet "Everything"
	landscape "landscape/station6"
	description `This ringworld is much bigger than any previously seen, consuming well over a whole systems worth of materials to construct. Here the outfitters and shipyards stock anything from vanilla content to plugin content. There is no need to go running about to find some superior technology, it's all right here!`
	spaceport `This ringworld is much bigger than any previously seen, consuming well over a whole systems worth of materials to construct. Here the outfitters and shipyards stock anything from vanilla content to plugin content. There is no need to go running about to find some superior technology, it's all right here!`
	outfitter "coalition plugins"
	outfitter "coalition vanilla"
	outfitter "deprecated"
	outfitter "developer"
	outfitter "drak plugins"
	outfitter "drak vanilla"
	outfitter "hai plugins"
	outfitter "hai vanilla"
	outfitter "human plugins"
	outfitter "human vanilla"
	outfitter "ka'het plugins"
	outfitter "ka'het vanilla"
	outfitter "korath plugins"
	outfitter "korath vanilla"
	outfitter "persons"
	outfitter "pug plugins"
	outfitter "pug vanilla"
	outfitter "quarg plugins"
	outfitter "quarg vanilla"
	outfitter "remnant plugins"
	outfitter "remnant vanilla"
	outfitter "sheragi plugins"
	outfitter "sheragi vanilla"
	outfitter "wanderer plugins"
	outfitter "wanderer vanilla"
	shipyard "coalition plugins"
	shipyard "coalition vanilla"
	shipyard "developer"
	shipyard "drak plugins"
	shipyard "drak vanilla"
	shipyard "hai plugins"
	shipyard "hai vanilla"
	shipyard "human plugins"
	shipyard "human vanilla"
	shipyard "ka'het plugins"
	shipyard "ka'het vanilla"
	shipyard "korath plugins"
	shipyard "korath vanilla"
	shipyard "persons"
	shipyard "pug plugins"
	shipyard "pug vanilla"
	shipyard "quarg plugins"
	shipyard "quarg vanilla"
	shipyard "remnant plugins"
	shipyard "remnant vanilla"
	shipyard "sheragi plugins"
	shipyard "sheragi vanilla"
	shipyard "wanderer plugins"
	shipyard "wanderer vanilla"
	bribe 0

# -------------------
#   PLANETS SHERAGI
# -------------------

planet "Sheragi"
	landscape "landscape/station6"
	description ``
	spaceport ``
	outfitter "sheragi plugins"
	outfitter "sheragi vanilla"
	shipyard "sheragi plugins"
	shipyard "sheragi vanilla"
	bribe 0

planet "Sheragi Plugins"
	landscape "landscape/station6"
	description ``
	spaceport ``
	outfitter "sheragi plugins"
	shipyard "sheragi plugins"
	bribe 0

planet "Sheragi Vanilla"
	landscape "landscape/station6"
	description ``
	spaceport ``
	outfitter "sheragi vanilla"
	shipyard "sheragi vanilla"
	bribe 0

planet "Black Diamond"
	bribe 0
	government "arena"
	tribute 1
		threshold 0
		fleet "black diamond"

planet "Emerald Sword"
	bribe 0
	government "arena"
	tribute 1
		threshold 0
		fleet "emerald sword"

# -----------------
#   PLANETS HUMAN
# -----------------

planet "Human"
	landscape "landscape/station6"
	description ``
	spaceport ``
	outfitter "human plugins"
	outfitter "human vanilla"
	shipyard "human plugins"
	shipyard "human vanilla"
	bribe 0

planet "Human Plugins"
	landscape "landscape/station6"
	description ``
	spaceport ``
	outfitter "human plugins"
	shipyard "human plugins"
	bribe 0

planet "Human Vanilla"
	landscape "landscape/station6"
	description ``
	spaceport ``
	outfitter "human vanilla"
	shipyard "human vanilla"
	bribe 0

planet "Aerie"
	bribe 0
	government "arena"
	tribute 1
		threshold 0
		fleet "aerie"

planet "Argosy"
	bribe 0
	government "arena"
	tribute 1
		threshold 0
		fleet "argosy"

planet "Arrow"
	bribe 0
	government "arena"
	tribute 1
		threshold 0
		fleet "arrow"

planet "AuxiliaryH"
	bribe 0
	government "arena"
	tribute 1
		threshold 0
		fleet "auxiliaryh"

planet "AuxiliaryC"
	bribe 0
	government "arena"
	tribute 1
		threshold 0
		fleet "auxiliaryc"

planet "AuxiliaryT"
	bribe 0
	government "arena"
	tribute 1
		threshold 0
		fleet "auxiliaryt"

planet "Barb"
	bribe 0
	government "arena"
	tribute 1
		threshold 0
		fleet "barb"

planet "Barb (Proton)"
	bribe 0
	government "arena"
	tribute 1
		threshold 0
		fleet "barb (proton)"

planet "Bactrian"
	bribe 0
	government "arena"
	tribute 1
		threshold 0
		fleet "bactrian"

planet "Bastion"
	bribe 0
	government "arena"
	tribute 1
		threshold 0
		fleet "bastion"

planet "Behemoth"
	bribe 0
	government "arena"
	tribute 1
		threshold 0
		fleet "behemoth"

planet "Berserker"
	bribe 0
	government "arena"
	tribute 1
		threshold 0
		fleet "berserker"

planet "Blackbird"
	bribe 0
	government "arena"
	tribute 1
		threshold 0
		fleet "blackbird"

planet "Bounder"
	bribe 0
	government "arena"
	tribute 1
		threshold 0
		fleet "bounder"

planet "Boxwing"
	bribe 0
	government "arena"
	tribute 1
		threshold 0
		fleet "boxwing"

planet "Bulk Freighter"
	bribe 0
	government "arena"
	tribute 1
		threshold 0
		fleet "bulk freighter"

planet "Carrier"
	bribe 0
	government "arena"
	tribute 1
		threshold 0
		fleet "carrier"

planet "Class C Freighter"
	bribe 0
	government "arena"
	tribute 1
		threshold 0
		fleet "class c freighter"

planet "Clipper"
	bribe 0
	government "arena"
	tribute 1
		threshold 0
		fleet "clipper"

planet "Combat Drone"
	bribe 0
	government "arena"
	tribute 1
		threshold 0
		fleet "combat drone"

planet "Container Transport"
	bribe 0
	government "arena"
	tribute 1
		threshold 0
		fleet "container transport"

planet "Corvette"
	bribe 0
	government "arena"
	tribute 1
		threshold 0
		fleet "corvette"

planet "Cruiser"
	bribe 0
	government "arena"
	tribute 1
		threshold 0
		fleet "cruiser"

planet "Dagger"
	bribe 0
	government "arena"
	tribute 1
		threshold 0
		fleet "dagger"

planet "Dreadnought"
	bribe 0
	government "arena"
	tribute 1
		threshold 0
		fleet "dreadnought"

planet "Dropship"
	bribe 0
	government "arena"
	tribute 1
		threshold 0
		fleet "dropship"

planet "Falcon"
	bribe 0
	government "arena"
	tribute 1
		threshold 0
		fleet "falcon"

planet "Finch"
	bribe 0
	government "arena"
	tribute 1
		threshold 0
		fleet "finch"

planet "Firebird"
	bribe 0
	government "arena"
	tribute 1
		threshold 0
		fleet "firebird"

planet "Flivver"
	bribe 0
	government "arena"
	tribute 1
		threshold 0
		fleet "flivver"

planet "Freighter"
	bribe 0
	government "arena"
	tribute 1
		threshold 0
		fleet "freighter"

planet "Frigate"
	bribe 0
	government "arena"
	tribute 1
		threshold 0
		fleet "frigate"

planet "Fury"
	bribe 0
	government "arena"
	tribute 1
		threshold 0
		fleet "fury"

planet "Gunboat"
	bribe 0
	government "arena"
	tribute 1
		threshold 0
		fleet "gunboat"

planet "Hauler"
	bribe 0
	government "arena"
	tribute 1
		threshold 0
		fleet "hauler"

planet "Hauler II"
	bribe 0
	government "arena"
	tribute 1
		threshold 0
		fleet "hauler ii"

planet "Hauler III"
	bribe 0
	government "arena"
	tribute 1
		threshold 0
		fleet "hauler iii"

planet "Hawk"
	bribe 0
	government "arena"
	tribute 1
		threshold 0
		fleet "hawk"

planet "Headhunter"
	bribe 0
	government "arena"
	tribute 1
		threshold 0
		fleet "headhunter"

planet "Heavy Shuttle"
	bribe 0
	government "arena"
	tribute 1
		threshold 0
		fleet "heavy shuttle"

planet "Kestrel"
	bribe 0
	government "arena"
	tribute 1
		threshold 0
		fleet "kestrel"

planet "Kestrel (More Engines)"
	bribe 0
	government "arena"
	tribute 1
		threshold 0
		fleet "kestrel"

planet "Kestrel (More Shields)"
	bribe 0
	government "arena"
	tribute 1
		threshold 0
		fleet "kestrel"

planet "Kestrel (More Weapons)"
	bribe 0
	government "arena"
	tribute 1
		threshold 0
		fleet "kestrel"

planet "Lampyrid-Class Transport"
	bribe 0
	government "arena"
	tribute 1
		threshold 0
		fleet "lampyrid"

planet "Lance"
	bribe 0
	government "arena"
	tribute 1
		threshold 0
		fleet "lance"

planet "Leviathan"
	bribe 0
	government "arena"
	tribute 1
		threshold 0
		fleet "leviathan"

planet "Manta"
	bribe 0
	government "arena"
	tribute 1
		threshold 0
		fleet "manta"

planet "Marauder Arrow Shields"
	bribe 0
	government "arena"
	tribute 1
		threshold 0
		fleet "marauder arrow shields"

planet "Marauder Arrow Engines"
	bribe 0
	government "arena"
	tribute 1
		threshold 0
		fleet "marauder arrow engines"

planet "Marauder Arrow Weapons"
	bribe 0
	government "arena"
	tribute 1
		threshold 0
		fleet "marauder arrow weapons"

planet "Marauder Bounder Shields"
	bribe 0
	government "arena"
	tribute 1
		threshold 0
		fleet "marauder bounder shields"

planet "Marauder Bounder Engines"
	bribe 0
	government "arena"
	tribute 1
		threshold 0
		fleet "marauder bounder engines"

planet "Marauder Bounder Weapons"
	bribe 0
	government "arena"
	tribute 1
		threshold 0
		fleet "marauder bounder weapons"

planet "Marauder Falcon Shields"
	bribe 0
	government "arena"
	tribute 1
		threshold 0
		fleet "marauder falcon shields"

planet "Marauder Falcon Engines"
	bribe 0
	government "arena"
	tribute 1
		threshold 0
		fleet "marauder falcon engines"

planet "Marauder Falcon Weapons"
	bribe 0
	government "arena"
	tribute 1
		threshold 0
		fleet "marauder falcon weapons"

planet "Marauder Firebird Shields"
	bribe 0
	government "arena"
	tribute 1
		threshold 0
		fleet "marauder firebird shields"

planet "Marauder Firebird Engines"
	bribe 0
	government "arena"
	tribute 1
		threshold 0
		fleet "marauder firebird engines"

planet "Marauder Firebird Weapons"
	bribe 0
	government "arena"
	tribute 1
		threshold 0
		fleet "marauder firebird weapons"

planet "Marauder Fury"
	bribe 0
	government "arena"
	tribute 1
		threshold 0
		fleet "marauder fury"

planet "Marauder Leviathan Shields"
	bribe 0
	government "arena"
	tribute 1
		threshold 0
		fleet "marauder leviathan shields"

planet "Marauder Leviathan Engines"
	bribe 0
	government "arena"
	tribute 1
		threshold 0
		fleet "marauder leviathan engines"

planet "Marauder Leviathan Weapons"
	bribe 0
	government "arena"
	tribute 1
		threshold 0
		fleet "marauder leviathan weapons"

planet "Marauder Manta Shields"
	bribe 0
	government "arena"
	tribute 1
		threshold 0
		fleet "marauder manta shields"

planet "Marauder Manta Engines"
	bribe 0
	government "arena"
	tribute 1
		threshold 0
		fleet "marauder manta engines"

planet "Marauder Manta Weapons"
	bribe 0
	government "arena"
	tribute 1
		threshold 0
		fleet "marauder manta weapons"

planet "Marauder Quicksilver Shields"
	bribe 0
	government "arena"
	tribute 1
		threshold 0
		fleet "marauder quicksilver shields"

planet "Marauder Quicksilver Engines"
	bribe 0
	government "arena"
	tribute 1
		threshold 0
		fleet "marauder quicksilver engines"

planet "Marauder Quicksilver Weapons"
	bribe 0
	government "arena"
	tribute 1
		threshold 0
		fleet "marauder quicksilver weapons"

planet "Marauder Raven Shields"
	bribe 0
	government "arena"
	tribute 1
		threshold 0
		fleet "marauder raven shields"

planet "Marauder Raven Engines"
	bribe 0
	government "arena"
	tribute 1
		threshold 0
		fleet "marauder raven engines"

planet "Marauder Raven Weapons"
	bribe 0
	government "arena"
	tribute 1
		threshold 0
		fleet "marauder raven weapons"

planet "Marauder Splinter Shields"
	bribe 0
	government "arena"
	tribute 1
		threshold 0
		fleet "marauder splinter shields"

planet "Marauder Splinter Engines"
	bribe 0
	government "arena"
	tribute 1
		threshold 0
		fleet "marauder splinter engines"

planet "Marauder Splinter Weapons"
	bribe 0
	government "arena"
	tribute 1
		threshold 0
		fleet "marauder splinter weapons"

planet "Modified Argosy"
	bribe 0
	government "arena"
	tribute 1
		threshold 0
		fleet "modified argosy"

planet "Modified Boxwing"
	bribe 0
	government "arena"
	tribute 1
		threshold 0
		fleet "modified boxwing"

planet "Mule"
	bribe 0
	government "arena"
	tribute 1
		threshold 0
		fleet "mule"

planet "Nest"
	bribe 0
	government "arena"
	tribute 1
		threshold 0
		fleet "nest"

planet "Osprey"
	bribe 0
	government "arena"
	tribute 1
		threshold 0
		fleet "osprey"

planet "Protector"
	bribe 0
	government "arena"
	tribute 1
		threshold 0
		fleet "protector"

planet "Quicksilver "
	bribe 0
	government "arena"
	tribute 1
		threshold 0
		fleet "quicksilver"

planet "Rainmaker"
	bribe 0
	government "arena"
	tribute 1
		threshold 0
		fleet "rainmaker"

planet "Raven"
