
effect "mgf explosion spark"
	description `Advanced asteroid scanner using proprietary technology developed and patented by Espion Mining co. Only those within the company or lots of money can purchase one.`
	
outfit "Espion Ore Refinery Module"
	category "Systems"
	cost 15734000
	thumbnail "outfit/mgf espion ore refinery"
	licenses
		"Espion Employee"
	mass 450
	"outfit space" -600
	"operating cost" 4000
	"ore refinery" 1
	"required crew" 10
	"energy consumption" 2
	description `Compact ship-based universal ore refinery that can be easily converted to refine different material easily allowing ships to process variety of different materials mined on the go reducing the time wasted travelling and unloading the ores.`
	description `Need one landing after purchase to activate the system. This system will refine certain amount of harvested material everyday as long as it's installed on the flag ship.`
	description `Requires at least 5 tons of harvested material to process into 5 tons of refined materials. Max 10 of the Ore Refinery can be stacked, beyond that will have no effect.`
	
outfit "Tyrant Reverse Thruster"
	category "Engines"
	"cost" 389000
	thumbnail "outfit/huge plasma thruster"
	"mass" 129
	"outfit space" -129
	"weapon capacity" -129
	"reverse thrust" 127.6
	"reverse thrusting energy" 8.6
	"reverse thrusting heat" 19.1
	"reverse flare sprite" "effect/plasma flare/huge"
		"frame rate" 9
	"reverse flare sound" "plasma huge"
	description "Tyrant Plasma Thruster but facing the other way."

outfit "E-XE10 Ion Maneuver Engine"
	category "Engines"
	"cost" 12000
	thumbnail "outfit/reverse thruster ion"
	"mass" 4
	"outfit space" -4
	"weapon capacity" -4
	"turn" 64
	"turning energy" .25
	"turning heat" .32
	"steering flare sprite" "effect/ion flare/tiny"
		"frame rate" 1.3
	"steering flare sound" "ion tiny"
	"reverse thrust" 2.4
	"reverse thrusting energy" .25
	"reverse thrusting heat" .32
	"reverse flare sprite" "effect/ion flare/tiny"
		"frame rate" 1.3
	"reverse flare sound" "ion tiny"
	description "Ultra compact maneuvring thruster developed by Espion to improve mobility of their smaller mining vessels."

outfit "LC-90 Adaptive Engine"
	category "Engines"
	"cost" 1280000
	thumbnail "outfit/medium atomic thruster"
	"mass" 166
	"outfit space" -166
	"engine capacity" -166
	#0.898 thrust/ton
	"thrust" 61.1
	"thrusting energy" 6.8
	"thrusting heat" 8.8
	"flare sprite" "effect/plasma flare/medium"
		"frame rate" 12
	"flare sound" "plasma medium"
	#32.15 turn/ton
	"turn" 1668.45
	"turning energy" 3.9
	"turning heat" 4.6
	"steering flare sprite" "effect/plasma flare/medium"
		"frame rate" 12
	"steering flare sound" "plasma medium"
	description `A special engine unit developed by DSSE Shipbuilding for its Lynchyoseu trawler factory ship which can operate both on sea, air, and space. `

outfit "MGF: Laser Rifle (Defective)"
	"display name" "Laser Rifle"
	category "Hand to Hand"
	cost 1000
	thumbnail "outfit/laser rifle"
	"capture attack" .2
	"capture defense" .3
	"unplunderable" 1
	description `This laser rifle is internally defective with power output barely half of standard rifle if it doesn't jam making it perform significantly worse than regular one.`

outfit "MGF: Navy Mk3 Rifle"
	"display name" "Navy Mk3 Rifle"
	category "Hand to Hand"
	cost 12000
	thumbnail "outfit/mgf navy mk3 rifle"
	"capture attack" .8
	"capture defense" .85
	"scope slot" 1
	"underbarrel slot" 1
	"unplunderable" 1
	description `Navy standard Mk3 rifle is a lightweight, highly lethal rifle designed for close quarter combat. Though not the most modern firearms it is still highly effective and outperform common civilian models.`

outfit "Espion Employee License"
	category "Licenses"
	cost 3000
	thumbnail "outfit/license"
	description `A small card that proves you're employed at Espion allowing you to buy special technologies reserved only for Espion employees`

outfit "Amusement Equipment License"
	category "Licenses"
	cost 1500000
	thumbnail "outfit/license"
	description `License for owning amusement equipment such as rollercoaster, large waterslide, or large grav-slide. Comes with a massive 600 pages manual about the laws and guidelines for operating one safely.`
	
outfit "Casino Operator License"
	category "Licenses"
	cost 3000000
	thumbnail "outfit/license"
	description `License for operating a casino. Comes with a large 200 pages manual about the laws and guidelines.`

outfit "Syndicate Platinum License"
	category "Licenses"
	cost 20000000
	thumbnail "outfit/license"
	"maintenance cost" 5000
	description `A Syndicate membership card that allows you to buy certain outfits and ships from the Syndicate.` 
	description `A tiny grey print on the license mention 5000 credit per day upkeep fee. Cancellation before one year will incur fine of 9% of the registration cost and cancellation after two year will incur fine of 4.55% of the registration cost`
	
